community_board,garden_name,address,size,neighborhood_name,latitude,longitude,borough,name,overall_pop,race_white,race_black,race_asian,race_latino,race_other,age0to17,age18to24,age25to44,age45to64,age65plus,on_time_hs_grad,not_complete_hs,hs_some_college,college_higher,poverty,rent_burden,obesity,hypertension,life_expectancy,self_rep_health,avg_org_value,avg_rev_value,avg_tot_appropriated
M03,11 BC Serenity Garden,626 East 11th Street,0.054,East Village,40.727124,-73.978677,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
B08,1100 Bergen Street Community Garden,1101 & 1105 Bergen Street,0.207,Crown Heights,NA,NA,Brooklyn,Crown Heights and Prospect Heights,97130,18,64,3,12,3,20,9,37,22,12,71,16,40,44,21,50,26,33,79.3,84,768592.1428571428,832778.3788819875,287500
M11,110th Street Block Association,1651 Madison Avenue,0.043,East Harlem,40.796295,-73.947533,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
M11,117th Street Community Garden,172 E 117th Street,0.08,East Harlem,40.798976,-73.940376,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
M03,11th Street Community Garden,422 East 11th Street,0.054,East Village,40.729079,-73.983327,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
X12,211th Street Block Association.,Carlisle Place,0.182,NA,NA,NA,Bronx,Williamsbridge and Baychester,156542,6,65,2,25,2,24,10,27,26,13,70,20,48,32,23,57,30,39,81,78,1659034,1655369.707070707,NA
X06,2120 Mapes Avenue HDFC,2124 Mapes Avenue,0.151,NA,40.847216,-73.885018,Bronx,Belmont and East Tremont,87476,6,25,1,67,1,29,14,28,20,9,61,36,45,19,31,60,36,32,77.7,69,1545195.8333333333,1628117.7333333334,175666.66666666666
B05,400 Montauk Avenue Block Association. (Ismael Vega y Amigos),New Lots Avenue,0.091,East New York,NA,NA,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
M03,5th Street Slope Garden Club,626-27 East 5th Street,0.031,East Village,40.723433,-73.980995,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
B07,6/15 Green,274 15th Street,0.287,Park Slope,40.664706,-73.987554,Brooklyn,Sunset Park,132721,23,3,30,42,2,22,9,39,21,9,75,41,29,30,29,57,24,27,82.6,74,2751369.8088235296,2805587.268382353,380666.6666666667
B07,64th Street Community Garden,64th Street,NA,Sunset Park,NA,NA,Brooklyn,Sunset Park,132721,23,3,30,42,2,22,9,39,21,9,75,41,29,30,29,57,24,27,82.6,74,2751369.8088235296,2805587.268382353,380666.6666666667
M03,6BC Botanical Garden,624-628 E 6th Street,0.171,East Village,40.724036,-73.980569,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
M03,6th Street & Avenue B Garden,78-92 Avenue B,0.315,East Village,40.724031,-73.981986,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
B16,700 Decatur Street Block Association,700 Decatur Street,0.114,Bed-Stuy,40.683541,-73.915121,Brooklyn,Brownsville,84525,1,76,1,20,2,28,11,27,23,12,65,27,52,21,28,57,41,33,75.1,79,1914727.2727272727,2039472.393939394,NA
X03,811 Family and Friends Association,809 Courtlandt Avenue,0.063,NA,40.823065,-73.91645,Bronx,Morrisania and Crotona,91601,1,37,1,60,1,29,12,28,22,9,63,36,45,19,31,60,36,32,76.2,69,463588.23529411765,514203.76470588235,NA
Q03,97th Street Block Association,33-28 97th Street,0.177,Corona,40.756409,-73.87122,Queens,Jackson Heights,179844,11,6,18,64,1,22,9,32,24,12,78,30,43,27,25,59,20,29,84.7,72,4065590.964028777,4075683.2661870504,117500
M03,9th Street Community Garden & Park,703 East 9th Street,0.39,East Village,40.725211,-73.977776,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
B03,A Better Community Garden,762-764 Herkimer Place/13-21 Hunterfly,0.044,Bed-Stuy,NA,NA,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
X03,A. Badillo Community Rose Garden,924 Melrose Avenue,0.064,Melrose,40.82513,-73.913329,Bronx,Morrisania and Crotona,91601,1,37,1,60,1,29,12,28,22,9,63,36,45,19,31,60,36,32,76.2,69,463588.23529411765,514203.76470588235,NA
B04,Aberdeen Street II Garden Projects,Aberdeen Street,0.253,NA,NA,NA,Brooklyn,Bushwick,112388,9,20,5,65,1,24,12,35,20,9,70,35,37,29,25,55,26,26,80.4,71,556648.9047619047,601285.6031746032,326250
B16,Abib Newborn,495 Osborn Street,0.249,East New York,40.659528,-73.906203,Brooklyn,Brownsville,84525,1,76,1,20,2,28,11,27,23,12,65,27,52,21,28,57,41,33,75.1,79,1914727.2727272727,2039472.393939394,NA
X09,Adlai E. Stevenson High School-Ecological Garden,1980 Lafayette Avenue/Stickball Avenue,NA,NA,NA,NA,Bronx,Parkchester and Soundview,184105,2,30,7,59,2,25,10,29,24,12,69,30,47,23,26,55,32,34,79.7,72,1902324.7391304348,1914136.3333333333,225000
M03,Alberts Garden,16-18 East 2nd Street,0.07,East Village,40.725347,-73.99132,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
B03,All People's Church of the Apostolic Faith Community Garden,149 Tompkins Avenue,0.064,Bed-Stuy,40.694344,-73.946088,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
M03,"All Peoples Garden, Inc.",293-295 East 3rd Street,0.099,East Village,40.721396,-73.979916,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
B06,Amazing Garden,261-265 Columbia Street,0.103,Red Hook,40.683251,-74.003548,Brooklyn,Park Slope and Carroll Gardens,109351,63,10,6,17,4,18,5,46,20,10,77,9,17,74,10,37,15,22,81.4,88,1500580.4378378377,1465623.8513513512,182450
B16,Amboy St. Garden,199 Amboy Street,0.391,NA,40.665633,-73.913605,Brooklyn,Brownsville,84525,1,76,1,20,2,28,11,27,23,12,65,27,52,21,28,57,41,33,75.1,79,1914727.2727272727,2039472.393939394,NA
B03,American Heart,122 Hart Street,0.05,Bed-Stuy,40.693378,-73.946915,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
X03,Angie Lee-Gonzalez & Luis Gonzalez Garden,1768 Bryant Avenue,0.131,NA,40.83652,-73.885069,Bronx,Morrisania and Crotona,91601,1,37,1,60,1,29,12,28,22,9,63,36,45,19,31,60,36,32,76.2,69,463588.23529411765,514203.76470588235,NA
X05,Anthony Avenue Garden,2078 Anthony Avenue,0.054,NA,40.852889,-73.901885,Bronx,Fordham and University Heights,136151,1,27,2,69,1,28,12,29,23,8,66,34,46,20,34,65,34,37,79.9,67,1281900,1281900,206500
X01,Astoria Residents Reclaiming Our World (ARROW),35th St. Bet. 35th & 36th Aves,0.287,NA,NA,NA,Bronx,Mott Haven and Melrose,98403,1,24,1,73,1,28,12,28,21,10,62,41,43,16,29,58,42,38,77.6,72,1788515.6129032257,1769096.2580645161,453846.1538461539
B05,Atkins Gardeners,213 Atkins Avenue,0.068,East New York,40.673772,-73.878795,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
M03,Auxiliary Services for High Schools @ P.S. 91,198 Forsyth Street,0.051,Lower East Side,40.72252,-73.990728,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
M03,Avenue B Community Garden Association,200 Avenue B,0.05,East Village,40.728307,-73.978864,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
Q12,B.C.C.A. Mini-Park and Garden,150-14 115th Drive,0.092,NA,40.683535,-73.792211,Queens,Jamaica and Hollis,232911,2,66,12,17,3,22,10,27,27,14,74,19,51,29,20,56,30,37,80.5,82,545464.6961538461,533962.0115384615,248142.85714285713
Q12,Back To Eden,144-29 Lakewood Avenue,NA,NA,40.689588,-73.803594,Queens,Jamaica and Hollis,232911,2,66,12,17,3,22,10,27,27,14,74,19,51,29,20,56,30,37,80.5,82,545464.6961538461,533962.0115384615,248142.85714285713
B06,Backyard Garden,61-73 Hamilton Avenue,0.225,Red Hook,40.682842,-74.006259,Brooklyn,Park Slope and Carroll Gardens,109351,63,10,6,17,4,18,5,46,20,10,77,9,17,74,10,37,15,22,81.4,88,1500580.4378378377,1465623.8513513512,182450
